ebay_id,sku,source,status,error_details
357011020594,ebayAM_3le7O,Amazon,不明,None
357154563670,ebayAM_LuODR,Amazon,不明,None
358140797738,ebayAM_x29VO,Amazon,不明,None
357251084663,ebayyh_h1141306867,Yahoo Auctions,不明,None
357339350132,ebayyh_s1124178394,Yahoo Auctions,不明,None
357341395077,ebayyh_j1193473176,Yahoo Auctions,不明,None
357412844359,ebayyh_w1195336864,Yahoo Auctions,不明,None
357418445779,ebayyh_b1197142394,Yahoo Auctions,不明,None
357580346439,ebayyh_s1209007032,Yahoo Auctions,不明,None
357636390202,ebayyh_c1115546465,Yahoo Auctions,不明,None
357654818769,ebayyh_l1189574309,Yahoo Auctions,不明,None
357910096666,ebayyh_f1115530087,Yahoo Auctions,不明,None
357935740901,ebayyh_1153924917,Yahoo Auctions,不明,None
358019912875,ebayyh_s1115526940,Yahoo Auctions,不明,None
358172778863,ebayyh_x1115522403,Yahoo Auctions,不明,None
358182152091,ebayyh_w1162751376,Yahoo Auctions,不明,None
358192747247,ebayyh_s1115535580,Yahoo Auctions,不明,None
358247961131,ebayyh_w1219471843,Yahoo Auctions,不明,None
358342508277,ebayyh_d1210158984,Yahoo Auctions,不明,None
356805605040,ebayYS_iiIcrM,Yahoo!ショッピング,不明,None
357040095186,ebayYS_0TIYt,Yahoo!ショッピング,不明,None
357061154041,ebayYS_I8lHe,Yahoo!ショッピング,不明,None
357075113061,ebayYS_qpWK9,Yahoo!ショッピング,不明,None
357197963540,ebayYS_eo5iA,Yahoo!ショッピング,不明,None
357251092437,ebayYS_RFj8r,Yahoo!ショッピング,不明,None
357321100358,ebayYS_Qm3OE,Yahoo!ショッピング,不明,None
357383173250,ebayYS_uIL73,Yahoo!ショッピング,不明,None
357654939066,ebayYS_LK1jL,Yahoo!ショッピング,不明,None
357669238923,ebayYS_SLPFZ,Yahoo!ショッピング,不明,None
357723723909,ebayYS_9Y1rg,Yahoo!ショッピング,不明,None
357979944862,ebayYS_ndLkZ,Yahoo!ショッピング,不明,None
358109244387,ebayYS_WyUJx,Yahoo!ショッピング,不明,None
357265052119,ebayrm_G570o,ラクマ,不明,None
356788801428,ebayRT_sg6ei,楽天市場,不明,None
356926874032,ebayRT_DjJe2,楽天市場,不明,None
357015542068,ebayRT_uEuyC,楽天市場,不明,None
357039030883,ebayRT_OG5wq,楽天市場,不明,None
357160266297,ebayRT_hWe8O,楽天市場,不明,None
357164737968,ebayRT_k6Yos,楽天市場,不明,None
357348261946,ebayRT_eHN4k,楽天市場,不明,None
357431224237,ebayRT_gBzgX,楽天市場,不明,None
357440667626,ebayRT_vywOZ,楽天市場,不明,None
357468170662,ebayRT_xwbZF,楽天市場,不明,None
358137426334,ebayRT_xpDg0,楽天市場,不明,None
358198045298,ebayRT_gxc7m,楽天市場,不明,None
358198845736,ebayRT_HkI1t0,楽天市場,不明,None
358293723954,ebayRT_u66z4,楽天市場,不明,None
